Date,Volume
5/31/22,"$33,538,210,634 "
5/30/22,"$39,277,993,274 "
5/29/22,"$18,093,886,409 "
5/28/22,"$19,252,320,708 "
5/27/22,"$36,582,005,748 "
5/26/22,"$36,774,325,352 "
5/25/22,"$27,525,063,551 "
5/24/22,"$26,616,506,245 "
5/23/22,"$31,483,454,557 "
5/22/22,"$21,631,532,270 "
5/21/22,"$17,274,840,442 "
5/20/22,"$30,749,382,605 "
5/19/22,"$33,773,447,707 "
5/18/22,"$31,285,268,319 "
5/17/22,"$29,101,473,475 "
5/16/22,"$32,613,897,286 "
5/15/22,"$25,835,372,065 "
5/14/22,"$28,579,868,620 "
5/13/22,"$42,841,124,537 "
5/12/22,"$66,989,173,272 "
5/11/22,"$70,388,855,818 "
5/10/22,"$59,811,038,817 "
5/9/22,"$63,355,494,961 "
5/8/22,"$36,763,041,910 "
5/7/22,"$24,375,896,406 "
5/6/22,"$37,795,577,489 "
5/5/22,"$43,106,256,317 "
5/4/22,"$36,754,404,490 "
5/3/22,"$27,326,943,244 "
5/2/22,"$32,922,642,426 "
5/1/22,"$27,002,760,110 "
4/30/22,"$23,895,713,731 "
4/29/22,"$30,882,994,649 "
4/28/22,"$33,903,704,907 "
4/27/22,"$30,981,015,184 "
4/26/22,"$34,569,088,416 "
4/25/22,"$35,445,730,570 "
4/24/22,"$17,964,398,167 "
4/23/22,"$16,138,021,249 "
4/22/22,"$28,011,716,745 "
4/21/22,"$35,372,786,395 "
4/20/22,"$27,819,532,341 "
4/19/22,"$25,303,206,547 "
4/18/22,"$33,705,182,072 "
4/17/22,"$19,087,633,042 "
4/16/22,"$16,833,150,693 "
4/15/22,"$21,756,855,753 "
4/14/22,"$24,342,001,973 "
4/13/22,"$27,691,105,228 "
4/11/22,"$33,949,912,166 "
4/10/22,"$17,654,475,582 "
4/9/22,"$16,050,772,496 "
4/8/22,"$27,215,995,394 "
4/7/22,"$26,101,973,106 "
4/6/22,"$39,393,395,788 "
4/5/22,"$29,640,604,055 "
4/4/22,"$32,499,785,455 "
4/3/22,"$25,414,397,610 "
4/2/22,"$29,336,594,194 "
4/1/22,"$38,162,644,287 "
3/31/22,"$33,327,427,106 "
3/30/22,"$29,333,883,962 "
3/29/22,"$31,397,059,069 "
3/28/22,"$36,362,175,703 "
3/27/22,"$28,160,889,722 "
3/26/22,"$16,950,455,995 "
3/25/22,"$30,574,413,034 "
3/24/22,"$31,042,992,291 "
3/23/22,"$25,242,943,069 "
3/22/22,"$32,004,652,376 "
3/21/22,"$24,615,543,271 "
3/20/22,"$20,127,946,682 "
3/19/22,"$19,664,853,187 "
3/18/22,"$34,421,564,942 "
3/17/22,"$22,009,601,093 "
3/16/22,"$39,616,916,192 "
3/15/22,"$23,934,000,868 "
3/14/22,"$24,322,159,070 "
3/13/22,"$17,300,745,310 "
3/12/22,"$14,616,450,657 "
3/11/22,"$26,364,890,465 "
3/10/22,"$31,078,064,711 "
3/9/22,"$32,284,121,034 "
3/8/22,"$25,776,583,476 "
3/7/22,"$28,546,143,503 "
3/6/22,"$19,745,229,902 "
3/5/22,"$16,975,917,450 "
3/4/22,"$28,516,271,427 "
3/3/22,"$24,967,782,593 "
3/2/22,"$29,183,112,630 "
3/1/22,"$32,479,047,645 "
2/28/22,"$35,690,014,104 "
2/27/22,"$23,450,127,612 "
2/26/22,"$17,467,554,129 "
2/25/22,"$26,545,599,159 "
2/24/22,"$46,383,802,093 "
2/23/22,"$21,849,073,843 "
2/22/22,"$25,493,150,450 "
2/21/22,"$29,280,402,798 "
2/20/22,"$18,340,576,452 "
2/19/22,"$13,736,557,863 "
2/18/22,"$23,310,007,704 "
2/17/22,"$26,246,662,813 "
2/16/22,"$19,792,547,657 "
2/15/22,"$22,721,659,051 "
2/14/22,"$20,827,783,012 "
2/13/22,"$14,741,589,015 "
2/12/22,"$18,152,390,304 "
2/11/22,"$26,954,925,781 "
2/10/22,"$32,142,048,537 "
2/9/22,"$23,245,887,300 "
2/8/22,"$33,079,398,868 "
2/7/22,"$28,641,855,926 "
2/6/22,"$16,142,097,334 "
2/5/22,"$19,652,846,215 "
2/4/22,"$29,412,210,792 "
2/3/22,"$18,591,534,769 "
2/2/22,"$19,155,189,416 "
2/1/22,"$20,288,500,328 "
1/31/22,"$20,734,730,465 "
1/30/22,"$14,643,548,444 "
1/29/22,"$17,194,183,075 "
