date,-9,-7,-5,-3,-1,1,3,5,7,9,11
1/3/09,50,0,0,0,0,0,0,0,0,0,0
1/4/09,0,50,0,0,0,0,0,0,0,0,0
1/5/09,0,50,0,0,0,0,0,0,0,0,0
1/6/09,0,50,0,0,0,0,0,0,0,0,0
1/7/09,0,50,0,0,0,0,0,0,0,0,0
1/8/09,0,50,0,0,0,0,0,0,0,0,0
1/9/09,700,50,0,0,0,0,0,0,0,0,0
1/10/09,3050,750,0,0,0,0,0,0,0,0,0
1/11/09,4650,3800,0,0,0,0,0,0,0,0,0
1/12/09,4750,8400,0,0,0,0,0,0,0,0,0
1/13/09,6150,13150,0,0,0,0,0,0,0,0,0
1/14/09,6511,19239,0,0,0,0,0,0,0,0,0
1/15/09,6700,25350,0,0,0,0,0,0,0,0,0
1/16/09,5600,31850,0,0,0,0,0,0,0,0,0
1/17/09,5450,37450,0,0,0,0,0,0,0,0,0
1/18/09,5500,42750,0,0,0,0,0,0,0,0,0
1/19/09,6525,47475,0,0,0,0,0,0,0,0,0
1/20/09,6100,53600,0,0,0,0,0,0,0,0,0
1/21/09,5200,59600,0,0,0,0,0,0,0,0,0
1/22/09,5050,64300,0,0,0,0,0,0,0,0,0
1/23/09,4650,68900,0,0,0,0,0,0,0,0,0
1/24/09,10550,73050,0,0,0,0,0,0,0,0,0
1/25/09,9600,83550,0,0,0,0,0,0,0,0,0
1/26/09,5800,92150,0,0,0,0,0,0,0,0,0
1/27/09,5000,97800,0,0,0,0,0,0,0,0,0
1/28/09,5600,102800,0,0,0,0,0,0,0,0,0
1/29/09,6650,107800,0,0,0,0,0,0,0,0,0
1/30/09,5850,114450,0,0,0,0,0,0,0,0,0
1/31/09,7900,119300,0,0,0,0,0,0,0,0,0
2/1/09,5750,127100,0,0,0,0,0,0,0,0,0
2/2/09,6450,132750,50,0,0,0,0,0,0,0,0
2/3/09,7150,139000,50,0,0,0,0,0,0,0,0
2/4/09,5950,146150,50,0,0,0,0,0,0,0,0
2/5/09,6300,152100,50,0,0,0,0,0,0,0,0
2/6/09,6100,158400,50,0,0,0,0,0,0,0,0
2/7/09,7600,163350,50,0,0,0,0,0,0,0,0
2/8/09,7600,169300,700,0,0,0,0,0,0,0,0
2/9/09,8900,171650,3750,0,0,0,0,0,0,0,0
2/10/09,6000,175900,8400,0,0,0,0,0,0,0,0
2/11/09,7100.04,176710.96,13139,0,0,0,0,0,0,0,0
2/12/09,5950,178011,18939,0,0,0,0,0,0,0,0
2/13/09,6200,178250,24650,0,0,0,0,0,0,0,0
2/14/09,6800,178175,30925,0,0,0,0,0,0,0,0
2/15/09,6950,179175,36175,0,0,0,0,0,0,0,0
2/16/09,7600,179875,40925,0,0,0,0,0,0,0,0
2/17/09,5850,182425,45975,0,0,0,0,0,0,0,0
2/18/09,5900,182250,52000,0,0,0,0,0,0,0,0
2/19/09,7000,181750,57600,0,0,0,0,0,0,0,0
2/20/09,6100,183900,62450,0,0,0,0,0,0,0,0
2/21/09,5700,185300,67150,0,0,0,0,0,0,0,0
2/22/09,6450,186250,71500,0,0,0,0,0,0,0,0
2/23/09,5400,182700,81500,0,0,0,0,0,0,0,0
2/24/09,5300,179000,90600,0,0,0,0,0,0,0,0
2/25/09,5250,178950,95950,0,0,0,0,0,0,0,0
2/26/09,5350,179450,100700,0,0,0,0,0,0,0,0
2/27/09,7550,177700,106000,0,0,0,0,0,0,0,0
2/28/09,5300,178450,112450,0,0,0,0,0,0,0,0
3/1/09,5250,178300,117900,0,0,0,0,0,0,0,0
3/2/09,5400,177200,124250,0,0,0,0,0,0,0,0
3/3/09,5650,176650,129800,0,0,0,0,0,0,0,0
3/4/09,6450,175100,135750,0,0,0,0,0,0,0,0
3/5/09,6000,174150.04,142749.96,0,0,0,0,0,0,0,0
3/6/09,5850,174500.04,148399.96,0,0,0,0,0,0,0,0
3/7/09,5450,174250.04,154499.96,0,0,0,0,0,0,0,0
3/8/09,6950,172550.04,160449.96,0,0,0,0,0,0,0,0
3/9/09,5400,172450.04,167499.96,0,0,0,0,0,0,0,0
3/10/09,5350,170650.04,174699.96,0,0,0,0,0,0,0,0
3/11/09,5700,167300.04,183399.96,0,0,0,0,0,0,0,0
3/12/09,6050,166950.04,189299.96,0,0,0,0,0,0,0,0
3/13/09,6400,165400,196150,0,0,0,0,0,0,0,0
3/14/09,5500,166100,201850,0,0,0,0,0,0,0,0
3/15/09,6150,165750,207700,0,0,0,0,0,0,0,0
3/16/09,8450,163150,214050,0,0,0,0,0,0,0,0
3/17/09,5700,165050,220600,0,0,0,0,0,0,0,0
3/18/09,6400,162850,227800,0,0,0,0,0,0,0,0
3/19/09,6100,163750,233300,0,0,0,0,0,0,0,0
3/20/09,6500,163550,239000,0,0,0,0,0,0,0,0
3/21/09,2500,163450,245600,0,0,0,0,0,0,0,0
3/22/09,6500,159650,251350,0,0,0,0,0,0,0,0
3/23/09,6500,160700,256800,0,0,0,0,0,0,0,0
3/24/09,5250,161200,262800,0,0,0,0,0,0,0,0
3/25/09,5850,161500,267750,0,0,0,0,0,0,0,0
3/26/09,7250,160800,272900,0,0,0,0,0,0,0,0
3/27/09,5300,163050,277900,0,0,0,0,0,0,0,0
3/28/09,6950,162200,283050,0,0,0,0,0,0,0,0
3/29/09,5800,161950,290250,0,0,0,0,0,0,0,0
3/30/09,6000,162550,295450,0,0,0,0,0,0,0,0
3/31/09,7100,162200,300200,0,0,0,0,0,0,0,0
4/1/09,5700,164350,305150,0,0,0,0,0,0,0,0
4/2/09,5750,164950,310250,0,0,0,0,0,0,0,0
4/3/09,5800,164750,316200,0,0,0,0,0,0,0,0
4/4/09,5650,165050,321650,50,0,0,0,0,0,0,0
4/5/09,7350,164750,326750,50,0,0,0,0,0,0,0
4/6/09,5450,167250,331600,50,0,0,0,0,0,0,0
4/7/09,5000,166150,338150,50,0,0,0,0,0,0,0
4/8/09,5250,166350,342950,50,0,0,0,0,0,0,0
4/9/09,4950,166700,347850,50,0,0,0,0,0,0,0
