,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt,Volume,Type,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility,PU_future90d,NVTAdj90_future90d,PM_future90d,PriceChange30d,PriceChange60d,PriceChange90d,PriceChange180d,future30d_ROI,future60d_ROI,future90d_ROI,future180d_ROI
2009-01-03,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-04,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-05,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-06,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-07,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-08,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-09,19.0,950.0,950.0,,,,,,,19.0,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-10,61.0,3050.0,4000.0,,,,,,,61.0,,,,,,,,,3721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-11,93.0,4650.0,8650.0,,,,,,,95.0,,,,,,,,,9025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-12,94.0,4700.0,13350.0,,,,,,,101.0,,,,,,,,,10201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-13,123.0,6150.0,19500.0,,,,,,,123.0,,,,,,,,,15129.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-14,129.0,6450.0,25950.0,,,,,,,133.0,,,,,,,,,17689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-15,126.0,6300.0,32250.0,,,,,,,140.0,,,,,,,,,19600.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-16,108.0,5400.0,37650.0,,,,,,,114.0,,,,,,,,,12996.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-17,109.0,5450.0,43100.0,,,,,,,109.0,,,,,,,,,11881.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-18,107.0,5350.0,48450.0,,,,,,,111.0,,,,,,,,,12321.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-19,115.0,5750.0,54200.0,,,,,,,133.0,,,,,,,,,17689.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-20,114.0,5700.0,59900.0,,,,,,,123.0,,,,,,,,,15129.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2009-01-21,102.0,5100.0,65000.0,,,,,,,116.0,,,,,,,,,13456.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
