,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,Volume,Annualized_DilutionRate,Total daily transaction volume,Velocity,The daily revenue of bitcoin miners,The accumulated revenue of bitcoin miners,P/E Ratio,Metcalfe,PM,<1year,1-2year,2-3year,3-5year,>5year,One-year staking ratio,Two-year staking ratio,Three-year staking ratio,Five-year staking ratio,Token Utility,PU Ratio,volatility30,volatility60,volatility90,volatility180,Token Utility_volatility,PU Ratio_volatility
2009-01-03,0,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,1,,,,0.0,,0.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2009-01-04,0,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,1,,,,0.0,,0.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2009-01-05,0,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,1,,,,0.0,,0.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2009-01-06,0,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,1,,,,0.0,,0.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2009-01-07,0,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,1,,,,0.0,,0.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2009-01-08,0,0,0,,,,0.0,,,,,,0.0,,,,,,,,,,1,,,,0.0,,0.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2009-01-09,19,19,4085,215.0,,,0.0,1.0,,,,,0.0,,9.44495122962963e-07,950.0,36500.0,,950.0,,,,1,,,,950.0,17070250.0,950.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,
2009-01-10,61,61,13129,215.229508196721,,,0.0,1.0,,,,,0.0,,3.0323264474074102e-06,3050.0,27831.25,,3050.0,,,,1,,,,4000.0,17071012.5,4000.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,3721,,,,,,,,,,,,,,,,,,
2009-01-11,95,93,20308,218.36559139784902,,,0.0,1.0,0.0,,0.0,,0.0,,4.62305507555556e-06,4650.0,19621.387283237,,4650.0,,865.0,,1,,,,8650.0,17072175.0,8650.0,1,1,10.0,,10.0,,10.0,,10.0,,,,,,,,,,,,9025,,,,,,,,,,,,,,,,,,
2009-01-12,101,94,21758,231.46808510638303,,,0.0,1.0,0.0,,0.0,,0.0,,4.67276534518519e-06,4700.0,12850.1872659176,,4700.0,,556.25,,1,,,,13350.0,17073350.0,13350.0,6,6,24.0,,4.0,,1.0,,24.0,,,,,,,,,,,,10201,,,,,,,,,,,,,,,,,,
2009-01-13,123,123,26530,215.691056910569,,,0.0,1.0,,,,,0.0,,6.11436316444444e-06,6150.0,11511.538461538501,,6150.0,,,,1,,,,19500.0,17074887.5,19500.0,0,0,0.0,,,,,,0.0,,,,,,,,,,,,15129,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
