,BlkCnt,IssTotNtv,SplyCur,TxTfrValAdjUSD,CapMrktCurUSD,NVTAdj90,PriceUSD,FeeTotUSD,IssTotUSD,AdrActCnt
2009-01-03,0.0,,0.0,,,,,,,0.0
2009-01-04,0.0,,0.0,,,,,,,0.0
2009-01-05,0.0,,0.0,,,,,,,0.0
2009-01-06,0.0,,0.0,,,,,,,0.0
2009-01-07,0.0,,0.0,,,,,,,0.0
2009-01-08,0.0,,0.0,,,,,,,0.0
2009-01-09,19.0,950.0,950.0,,,,,,,19.0
2009-01-10,61.0,3050.0,4000.0,,,,,,,61.0
2009-01-11,93.0,4650.0,8650.0,,,,,,,95.0
2009-01-12,94.0,4700.0,13350.0,,,,,,,101.0
2009-01-13,123.0,6150.0,19500.0,,,,,,,123.0
2009-01-14,129.0,6450.0,25950.0,,,,,,,133.0
2009-01-15,126.0,6300.0,32250.0,,,,,,,140.0
2009-01-16,108.0,5400.0,37650.0,,,,,,,114.0
2009-01-17,109.0,5450.0,43100.0,,,,,,,109.0
2009-01-18,107.0,5350.0,48450.0,,,,,,,111.0
2009-01-19,115.0,5750.0,54200.0,,,,,,,133.0
2009-01-20,114.0,5700.0,59900.0,,,,,,,123.0
2009-01-21,102.0,5100.0,65000.0,,,,,,,116.0
2009-01-22,91.0,4550.0,69550.0,,,,,,,95.0
2009-01-23,84.0,4200.0,73750.0,,,,,,,91.0
2009-01-24,201.0,10050.0,83800.0,,,,,,,212.0
2009-01-25,191.0,9550.0,93350.0,,,,,,,193.0
2009-01-26,96.0,4800.0,98150.0,,,,,,,117.0
2009-01-27,97.0,4850.0,103000.0,,,,,,,101.0
2009-01-28,112.0,5600.0,108600.0,,,,,,,112.0
2009-01-29,121.0,6050.0,114650.0,,,,,,,134.0
2009-01-30,117.0,5850.0,120500.0,,,,,,,117.0
2009-01-31,138.0,6900.0,127400.0,,,,,,,159.0
2009-02-01,113.0,5650.0,133050.0,,,,,,,116.0
2009-02-02,128.0,6400.0,139450.0,,,,,,,130.0
2009-02-03,139.0,6950.0,146400.0,,,,,,,154.0
2009-02-04,119.0,5950.0,152350.0,,,,,,,119.0
2009-02-05,126.0,6300.0,158650.0,,,,,,,126.0
2009-02-06,122.0,6100.0,164750.0,,,,,,,122.0
2009-02-07,129.0,6450.0,171200.0,,,,,,,156.0
2009-02-08,132.0,6600.0,177800.0,,,,,,,134.0
2009-02-09,134.0,6700.0,184500.0,,,,,,,179.0
2009-02-10,120.0,6000.0,190500.0,,,,,,,120.0
2009-02-11,133.0,6650.0,197150.0,,,,,,,148.0
2009-02-12,119.0,5950.0,203100.0,,,,,,,119.0
2009-02-13,124.0,6200.0,209300.0,,,,,,,124.0
2009-02-14,136.0,6800.0,216100.0,,,,,,,136.0
