,Volume,Type
2013-04-28,0,BTC
2013-04-29,0,BTC
2013-04-30,0,BTC
2013-05-01,0,BTC
2013-05-02,0,BTC
2013-05-03,0,BTC
2013-05-04,0,BTC
2013-05-05,0,BTC
2013-05-06,0,BTC
2013-05-07,0,BTC
2013-05-08,0,BTC
2013-05-09,0,BTC
2013-05-10,0,BTC
2013-05-11,0,BTC
2013-05-12,0,BTC
2013-05-13,0,BTC
2013-05-14,0,BTC
2013-05-15,0,BTC
2013-05-16,0,BTC
2013-05-17,0,BTC
2013-05-18,0,BTC
2013-05-19,0,BTC
2013-05-20,0,BTC
2013-05-21,0,BTC
2013-05-22,0,BTC
2013-05-23,0,BTC
2013-05-24,0,BTC
2013-05-25,0,BTC
2013-05-26,0,BTC
2013-05-27,0,BTC
2013-05-28,0,BTC
2013-05-29,0,BTC
2013-05-30,0,BTC
2013-05-31,0,BTC
2013-06-01,0,BTC
2013-06-02,0,BTC
2013-06-03,0,BTC
2013-06-04,0,BTC
2013-06-05,0,BTC
2013-06-06,0,BTC
2013-06-07,0,BTC
2013-06-08,0,BTC
2013-06-09,0,BTC
2013-06-10,0,BTC
2013-06-11,0,BTC
2013-06-12,0,BTC
2013-06-13,0,BTC
2013-06-14,0,BTC
2013-06-15,0,BTC
2013-06-16,0,BTC
2013-06-17,0,BTC
2013-06-18,0,BTC
2013-06-19,0,BTC
2013-06-20,0,BTC
2013-06-21,0,BTC
2013-06-22,0,BTC
2013-06-23,0,BTC
2013-06-24,0,BTC
2013-06-25,0,BTC
2013-06-26,0,BTC
2013-06-27,0,BTC
2013-06-28,0,BTC
2013-06-29,0,BTC
2013-06-30,0,BTC
2013-07-01,0,BTC
2013-07-02,0,BTC
2013-07-03,0,BTC
2013-07-04,0,BTC
2013-07-05,0,BTC
2013-07-06,0,BTC
2013-07-07,0,BTC
2013-07-08,0,BTC
2013-07-09,0,BTC
2013-07-10,0,BTC
2013-07-11,0,BTC
2013-07-12,0,BTC
2013-07-13,0,BTC
2013-07-14,0,BTC
2013-07-15,0,BTC
2013-07-16,0,BTC
2013-07-17,0,BTC
2013-07-18,0,BTC
2013-07-19,0,BTC
2013-07-20,0,BTC
2013-07-21,0,BTC
2013-07-22,0,BTC
2013-07-23,0,BTC
2013-07-24,0,BTC
2013-07-25,0,BTC
2013-07-26,0,BTC
2013-07-27,0,BTC
2013-07-28,0,BTC
2013-07-29,0,BTC
2013-07-30,0,BTC
2013-07-31,0,BTC
2013-08-01,0,BTC
2013-08-02,0,BTC
2013-08-03,0,BTC
2013-08-04,0,BTC
2013-08-05,0,BTC
2013-08-06,0,BTC
2013-08-07,0,BTC
2013-08-08,0,BTC
2013-08-09,0,BTC
2013-08-10,0,BTC
2013-08-11,0,BTC
2013-08-12,0,BTC
2013-08-13,0,BTC
2013-08-14,0,BTC
2013-08-15,0,BTC
2013-08-16,0,BTC
2013-08-17,0,BTC
2013-08-18,0,BTC
2013-08-19,0,BTC
2013-08-20,0,BTC
2013-08-21,0,BTC
2013-08-22,0,BTC
2013-08-23,0,BTC
2013-08-24,0,BTC
2013-08-25,0,BTC
2013-08-26,0,BTC
2013-08-27,0,BTC
2013-08-28,0,BTC
2013-08-29,0,BTC
2013-08-30,0,BTC
2013-08-31,0,BTC
2013-09-01,0,BTC
2013-09-02,0,BTC
2013-09-03,0,BTC
2013-09-04,0,BTC
2013-09-05,0,BTC
2013-09-06,0,BTC
2013-09-07,0,BTC
2013-09-08,0,BTC
2013-09-09,0,BTC
2013-09-10,0,BTC
2013-09-11,0,BTC
2013-09-12,0,BTC
2013-09-13,0,BTC
2013-09-14,0,BTC
2013-09-15,0,BTC
2013-09-16,0,BTC
2013-09-17,0,BTC
2013-09-18,0,BTC
2013-09-19,0,BTC
2013-09-20,0,BTC
2013-09-21,0,BTC
2013-09-22,0,BTC
2013-09-23,0,BTC
2013-09-24,0,BTC
2013-09-25,0,BTC
2013-09-26,0,BTC
2013-09-27,0,BTC
2013-09-28,0,BTC
2013-09-29,0,BTC
2013-09-30,0,BTC
2013-10-01,0,BTC
2013-10-02,0,BTC
2013-10-03,0,BTC
2013-10-04,0,BTC
2013-10-05,0,BTC
2013-10-06,0,BTC
2013-10-07,0,BTC
2013-10-08,0,BTC
2013-10-09,0,BTC
2013-10-10,0,BTC
2013-10-11,0,BTC
2013-10-12,0,BTC
2013-10-13,0,BTC
2013-10-14,0,BTC
2013-10-15,0,BTC
2013-10-16,0,BTC
2013-10-17,0,BTC
2013-10-18,0,BTC
2013-10-19,0,BTC
2013-10-20,0,BTC
2013-10-21,0,BTC
2013-10-22,0,BTC
2013-10-23,0,BTC
2013-10-24,0,BTC
2013-10-25,0,BTC
2013-10-26,0,BTC
2013-10-27,0,BTC
2013-10-28,0,BTC
2013-10-29,0,BTC
2013-10-30,0,BTC
2013-10-31,0,BTC
2013-11-01,0,BTC
2013-11-02,0,BTC
2013-11-03,0,BTC
2013-11-04,0,BTC
2013-11-05,0,BTC
2013-11-06,0,BTC
2013-11-07,0,BTC
2013-11-08,0,BTC
2013-11-09,0,BTC
2013-11-10,0,BTC
2013-11-11,0,BTC
2013-11-12,0,BTC
2013-11-13,0,BTC
2013-11-14,0,BTC
2013-11-15,0,BTC
2013-11-16,0,BTC
2013-11-17,0,BTC
2013-11-18,0,BTC
2013-11-19,0,BTC
2013-11-20,0,BTC
2013-11-21,0,BTC
2013-11-22,0,BTC
2013-11-23,0,BTC
2013-11-24,0,BTC
2013-11-25,0,BTC
2013-11-26,0,BTC
2013-11-27,0,BTC
2013-11-28,0,BTC
2013-11-29,0,BTC
2013-11-30,0,BTC
2013-12-01,0,BTC
2013-12-02,0,BTC
2013-12-03,0,BTC
2013-12-04,0,BTC
2013-12-05,0,BTC
2013-12-06,0,BTC
2013-12-07,0,BTC
2013-12-08,0,BTC
2013-12-09,0,BTC
2013-12-10,0,BTC
2013-12-11,0,BTC
2013-12-12,0,BTC
2013-12-13,0,BTC
2013-12-14,0,BTC
2013-12-15,0,BTC
2013-12-16,0,BTC
2013-12-17,0,BTC
2013-12-18,0,BTC
2013-12-19,0,BTC
2013-12-20,0,BTC
2013-12-21,0,BTC
2013-12-22,0,BTC
2013-12-23,0,BTC
2013-12-24,0,BTC
2013-12-25,0,BTC
2013-12-26,0,BTC
2013-12-27,46862700,BTC
2013-12-28,32505800,BTC
2013-12-29,19011300,BTC
2013-12-30,20707700,BTC
2013-12-31,20897300,BTC
2014-01-01,22489400,BTC
2014-01-02,38489500,BTC
2014-01-03,37810100,BTC
2014-01-04,38005000,BTC
2014-01-05,72898496,BTC
2014-01-06,85565696,BTC
2014-01-07,81311696,BTC
2014-01-08,74175600,BTC
2014-01-09,59998600,BTC
2014-01-10,31876800,BTC
2014-01-11,44754200,BTC
2014-01-12,39623500,BTC
2014-01-13,45580900,BTC
2014-01-14,20829800,BTC
2014-01-15,28107200,BTC
2014-01-16,19149300,BTC
2014-01-17,39031700,BTC
2014-01-18,18052700,BTC
2014-01-19,24365700,BTC
2014-01-20,27652700,BTC
2014-01-21,18997300,BTC
2014-01-22,18453700,BTC
2014-01-23,15607100,BTC
2014-01-24,34912000,BTC
2014-01-25,24303900,BTC
2014-01-26,32224300,BTC
2014-01-27,49233600,BTC
2014-01-28,44875500,BTC
2014-01-29,17984400,BTC
2014-01-30,29918200,BTC
2014-01-31,17107900,BTC
2014-02-01,19668700,BTC
2014-02-02,11300900,BTC
2014-02-03,13940100,BTC
2014-02-04,16609700,BTC
2014-02-05,22395100,BTC
2014-02-06,50108700,BTC
2014-02-07,113643000,BTC
2014-02-08,38742600,BTC
2014-02-09,39311400,BTC
2014-02-10,112758000,BTC
2014-02-11,72745200,BTC
2014-02-12,25367600,BTC
2014-02-13,38588100,BTC
2014-02-14,102506000,BTC
2014-02-15,26709200,BTC
2014-02-16,40061700,BTC
2014-02-17,31948400,BTC
2014-02-18,20015100,BTC
2014-02-19,13897800,BTC
2014-02-20,46905000,BTC
2014-02-21,47308100,BTC
2014-02-22,31254000,BTC
2014-02-23,31434400,BTC
2014-02-24,57893900,BTC
2014-02-25,126314000,BTC
2014-02-26,64642700,BTC
2014-02-27,25540800,BTC
2014-02-28,28076100,BTC
2014-03-01,18668100,BTC
2014-03-02,7950760,BTC
2014-03-03,96056896,BTC
2014-03-04,55344600,BTC
2014-03-05,22461900,BTC
2014-03-06,16068100,BTC
2014-03-07,34150800,BTC
2014-03-08,18654200,BTC
2014-03-09,15396500,BTC
2014-03-10,20639800,BTC
2014-03-11,11732500,BTC
2014-03-12,18621200,BTC
2014-03-13,11634900,BTC
2014-03-14,11913800,BTC
2014-03-15,4342080,BTC
2014-03-16,5277290,BTC
2014-03-17,14648200,BTC
2014-03-18,24011500,BTC
2014-03-19,14228900,BTC
2014-03-20,20572900,BTC
2014-03-21,38414100,BTC
2014-03-22,17360700,BTC
2014-03-23,9288400,BTC
2014-03-24,22706900,BTC
2014-03-25,14020100,BTC
2014-03-26,16401100,BTC
2014-03-27,62225400,BTC
2014-03-28,58828300,BTC
2014-03-29,11147100,BTC
2014-03-30,42958300,BTC
2014-03-31,28254000,BTC
2014-04-01,35685800,BTC
2014-04-02,49647600,BTC
2014-04-03,40765500,BTC
2014-04-04,22925500,BTC
2014-04-05,13404500,BTC
2014-04-06,10241400,BTC
2014-04-07,15616600,BTC
2014-04-08,10921600,BTC
2014-04-09,13204400,BTC
2014-04-10,55868300,BTC
2014-04-11,62562800,BTC
2014-04-12,19226500,BTC
2014-04-13,22493500,BTC
2014-04-14,50730200,BTC
2014-04-15,49561000,BTC
2014-04-16,56480100,BTC
2014-04-17,34025500,BTC
2014-04-18,19042400,BTC
2014-04-19,19588200,BTC
2014-04-20,12103100,BTC
2014-04-21,15171400,BTC
2014-04-22,11670900,BTC
2014-04-23,9814530,BTC
2014-04-24,13009400,BTC
2014-04-25,46856500,BTC
2014-04-26,12214600,BTC
2014-04-27,10949500,BTC
2014-04-28,23876600,BTC
2014-04-29,16401400,BTC
2014-04-30,15244900,BTC
2014-05-01,12871800,BTC
2014-05-02,10394200,BTC
2014-05-03,9849640,BTC
2014-05-04,5621260,BTC
2014-05-05,10004800,BTC
2014-05-06,12507300,BTC
2014-05-07,18332200,BTC
2014-05-08,9446580,BTC
2014-05-09,10347900,BTC
2014-05-10,6682600,BTC
2014-05-11,12251700,BTC
2014-05-12,7383770,BTC
2014-05-13,7682670,BTC
2014-05-14,9472960,BTC
2014-05-15,7362980,BTC
2014-05-16,6475100,BTC
2014-05-17,2945790,BTC
2014-05-18,2857830,BTC
2014-05-19,6242620,BTC
2014-05-20,40327500,BTC
2014-05-21,14626000,BTC
2014-05-22,33086500,BTC
2014-05-23,34934700,BTC
2014-05-24,11499300,BTC
2014-05-25,47010300,BTC
2014-05-26,29959800,BTC
2014-05-27,38032000,BTC
2014-05-28,19289000,BTC
2014-05-29,18707800,BTC
2014-05-30,31985400,BTC
2014-05-31,15107100,BTC
2014-06-01,45259100,BTC
2014-06-02,45450200,BTC
2014-06-03,40653700,BTC
2014-06-04,37731500,BTC
2014-06-05,29621300,BTC
2014-06-06,18680100,BTC
2014-06-07,15855300,BTC
2014-06-08,8614190,BTC
2014-06-09,19065400,BTC
2014-06-10,17913400,BTC
2014-06-11,25163800,BTC
2014-06-12,50818800,BTC
2014-06-13,35700700,BTC
2014-06-14,38481200,BTC
2014-06-15,23580900,BTC
2014-06-16,28677500,BTC
2014-06-17,18597300,BTC
2014-06-18,17862000,BTC
2014-06-19,12803800,BTC
2014-06-20,18134100,BTC
2014-06-21,9256290,BTC
2014-06-22,10877700,BTC
2014-06-23,14053800,BTC
2014-06-24,14144900,BTC
2014-06-25,20687700,BTC
2014-06-26,14655900,BTC
2014-06-27,20814600,BTC
2014-06-28,13398100,BTC
2014-06-29,8897470,BTC
2014-06-30,46422400,BTC
2014-07-01,38446300,BTC
2014-07-02,25768200,BTC
2014-07-03,18949000,BTC
2014-07-04,22237200,BTC
2014-07-05,9105940,BTC
2014-07-06,10080000,BTC
2014-07-07,17813600,BTC
2014-07-08,10005500,BTC
2014-07-09,9819150,BTC
2014-07-10,15880700,BTC
2014-07-11,16467100,BTC
2014-07-12,13329000,BTC
2014-07-13,11291000,BTC
2014-07-14,12706800,BTC
2014-07-15,10873200,BTC
2014-07-16,13182400,BTC
2014-07-17,16576700,BTC
2014-07-18,14158100,BTC
2014-07-19,7222030,BTC
2014-07-20,5760120,BTC
2014-07-21,10711900,BTC
2014-07-22,9602880,BTC
2014-07-23,11056600,BTC
2014-07-24,20917200,BTC
2014-07-25,12279500,BTC
2014-07-26,10752900,BTC
2014-07-27,7774230,BTC
2014-07-28,19316400,BTC
2014-07-29,11275400,BTC
2014-07-30,14898800,BTC
2014-07-31,22467900,BTC
2014-08-01,18215900,BTC
2014-08-02,8359080,BTC
2014-08-03,9917990,BTC
2014-08-04,9867570,BTC
2014-08-05,10790800,BTC
2014-08-06,14497900,BTC
2014-08-07,11131400,BTC
2014-08-08,11072000,BTC
2014-08-09,7922070,BTC
2014-08-10,7555310,BTC
2014-08-11,14764200,BTC
2014-08-12,13978200,BTC
2014-08-13,25777500,BTC
2014-08-14,35803900,BTC
2014-08-15,25598300,BTC
2014-08-16,22832500,BTC
2014-08-17,24300900,BTC
2014-08-18,50783800,BTC
2014-08-19,38422400,BTC
2014-08-20,46527600,BTC
2014-08-21,49444200,BTC
2014-08-22,36563900,BTC
2014-08-23,25171900,BTC
2014-08-24,19441700,BTC
2014-08-25,18356700,BTC
2014-08-26,23235100,BTC
2014-08-27,22648500,BTC
2014-08-28,19862000,BTC
2014-08-29,17624800,BTC
2014-08-30,9424070,BTC
2014-08-31,44632300,BTC
2014-09-01,20432000,BTC
2014-09-02,23337900,BTC
2014-09-03,13342200,BTC
2014-09-04,26081400,BTC
2014-09-05,15302500,BTC
2014-09-06,10601400,BTC
2014-09-07,8994050,BTC
2014-09-08,30238000,BTC
2014-09-09,21447800,BTC
2014-09-10,22787800,BTC
2014-09-11,16852900,BTC
2014-09-12,15437200,BTC
2014-09-13,15588000,BTC
2014-09-14,13105500,BTC
2014-09-15,15345200,BTC
2014-09-16,16797300,BTC
2014-09-17,21056800,BTC
2014-09-18,34483200,BTC
2014-09-19,37919700,BTC
2014-09-20,36863600,BTC
2014-09-21,26580100,BTC
2014-09-22,24127600,BTC
2014-09-23,45099500,BTC
2014-09-24,30627700,BTC
2014-09-25,26814400,BTC
2014-09-26,21460800,BTC
2014-09-27,15029300,BTC
