"<1d, x; 1d-1w, x; 1w-1m, x; 1-3m, x; 3-6m, x; 6-12m, x; 12-18m, x; 18-24m, x; 2-3y, x; 3-5y, x; >5y, x; BTC/USD, x","<1d, y","<1d, text","1d-1w, y","1d-1w, text","1w-1m, y","1w-1m, text","1-3m, y","1-3m, text","3-6m, y","3-6m, text","6-12m, y","6-12m, text","12-18m, y","12-18m, text","18-24m, y","18-24m, text","2-3y, y","2-3y, text","3-5y, y","3-5y, text",">5y, y",">5y, text","BTC/USD, y"
"2009-01-13","0.3825783972125436","38.26%","0.9965156794425089","61.39%","1.0","0.35%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-14","0.2923433874709977","29.23%","0.9976798143851509","70.53%","1.0","0.23%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-15","0.2247304347826087","22.47%","0.9982608695652174","77.35%","1.0","0.17%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-16","0.16689847009735745","16.69%","0.980528511821975","81.36%","1.0","1.95%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-17","0.14544228255736935","14.54%","0.9450730623999796","79.96%","1.0","5.49%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-18","0.12398609501738125","12.40%","0.9096176129779838","78.56%","1.0","9.04%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-19","0.11717974180734855","11.72%","0.8069513406156902","68.98%","1.0","19.30%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-20","0.11424847958297132","11.42%","0.7126151172893137","59.84%","1.0","28.74%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-21","0.09575289575289576","9.58%","0.6277992277992277","53.20%","1.0","37.22%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-22","0.07393621160125677","7.39%","0.5649420044486062","49.10%","1.0","43.51%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-23","0.052119527449617786","5.21%","0.5020847810979847","45.00%","1.0","49.79%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-24","0.12065698041692988","12.07%","0.5050536955148452","38.44%","1.0","49.49%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-25","0.12333526346265199","12.33%","0.5075275043427909","38.42%","1.0","49.25%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-26","0.10154997327632284","10.15%","0.5005344735435596","39.90%","1.0","49.95%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-27","0.059057071960297775","5.91%","0.4471464019851116","38.81%","1.0","55.29%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-28","0.05002315886984715","5.00%","0.412691060676239","36.27%","1.0","58.73%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-29","0.0551896080931954","5.52%","0.4097758386316497","35.46%","1.0","59.02%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-30","0.060356057316543636","6.04%","0.4068606165870604","34.65%","1.0","59.31%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-01-31","0.04577033101757254","4.58%","0.37760523089497344","33.18%","1.0","62.24%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-01","0.05557699729834041","5.56%","0.3330760324199151","27.75%","1.0","66.69%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-02","0.04643510054844607","4.64%","0.3148080438756856","26.84%","1.0","68.52%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-03","0.04723862452240361","4.72%","0.30531434525877044","25.81%","0.9996526571726294","69.43%","1.0","0.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-04","0.042342044326827664","4.23%","0.3010254713860404","25.87%","0.9996692027786966","69.86%","1.0","0.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-05","0.039469529523208084","3.95%","0.2844963688032839","24.50%","0.9996842437638144","71.52%","1.0","0.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-06","0.04223551982049864","4.22%","0.2820850916804097","23.98%","0.9996911101029884","71.76%","1.0","0.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-07","0.04500151011778919","4.50%","0.2796738145575355","23.47%","0.9996979764421624","72.00%","1.0","0.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-08","0.035311143270622285","3.53%","0.2630969609261939","22.78%","0.9959479015918956","73.29%","1.0","0.41%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-09","0.04084467907752153","4.08%","0.2600722422895249","21.92%","0.992497916087802","73.24%","1.0","0.75%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-10","0.04755543681538873","4.76%","0.25567726422655623","20.81%","0.9692759818327544","71.36%","1.0","3.07%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-11","0.03678950347311551","3.68%","0.2487781836892205","21.20%","0.9440699768458966","69.53%","1.0","5.59%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-12","0.030265442818159263","3.03%","0.23964296700570575","20.94%","0.9119870999751922","67.23%","1.0","8.80%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-13","0.02970059880239521","2.97%","0.23233552095808385","20.26%","0.8838323353293412","65.15%","1.0","11.62%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-14","0.030363149598002417","3.04%","0.22742045786269555","19.71%","0.8699666423115796","64.25%","1.0","13.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-15","0.03102570039360963","3.10%","0.22250539476730724","19.15%","0.8561009492938181","63.36%","1.0","14.39%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-16","0.03092090522070356","3.09%","0.21196522518485325","18.10%","0.8345283441631189","62.26%","1.0","16.55%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-17","0.03190796613848492","3.19%","0.19383564141523768","16.19%","0.8156066854786195","62.18%","1.0","18.44%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-18","0.02504735845085245","2.50%","0.1848031993264576","15.98%","0.7938328772889918","60.90%","1.0","20.62%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-19","0.0236976506639428","2.37%","0.1812053115423902","15.75%","0.7711950970377937","59.00%","1.0","22.88%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-20","0.02798174240920817","2.80%","0.17721770192498512","14.92%","0.7521333597936098","57.49%","1.0","24.79%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-21","0.025374239909987068","2.54%","0.1736947085739145","14.83%","0.745929693595435","57.22%","1.0","25.41%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-22","0.02276673741076596","2.28%","0.1701717152228439","14.74%","0.7397260273972602","56.96%","1.0","26.03%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-23","0.02215130467430073","2.22%","0.1623803266378825","14.02%","0.7163506664163695","55.40%","1.0","28.36%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-24","0.020106013525863643","2.01%","0.15262292085541948","13.25%","0.6773898738804607","52.48%","1.0","32.26%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-25","0.01931391504432096","1.93%","0.14915206594863584","12.98%","0.6665667089794112","51.74%","1.0","33.34%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-26","0.018521816562778272","1.85%","0.14568121104185214","12.72%","0.6557435440783616","51.01%","1.0","34.43%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-27","0.01944782080222261","1.94%","0.13665566938704635","11.72%","0.6424726515019968","50.58%","1.0","35.75%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-02-28","0.022869727257326784","2.29%","0.13298322886667796","11.01%","0.6247670675927495","49.18%","1.0","37.52%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-01","0.020447597215565987","2.04%","0.13024223457555828","10.98%","0.615839793098508","48.56%","1.0","38.42%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-02","0.018025467173805192","1.80%","0.12750124028443854","10.95%","0.6069125186042665","47.94%","1.0","39.31%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-03","0.01809077693425941","1.81%","0.12582781456953646","10.77%","0.5903731222742691","46.45%","1.0","40.96%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-04","0.020363062352012632","2.04%","0.1234411996842936","10.31%","0.5737963693764798","45.04%","1.0","42.62%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-05","0.019673736763288305","1.97%","0.1229183155390136","10.32%","0.5648732425675422","44.20%","1.0","43.51%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-06","0.018984411174563974","1.90%","0.1223954313937336","10.34%","0.5559501157586048","43.36%","1.0","44.40%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-07","0.01796768835874981","1.80%","0.11671447984297145","9.87%","0.5443153857768384","42.76%","1.0","45.57%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-08","0.02024530811290084","2.02%","0.11600413772720555","9.58%","0.5302203044185015","41.42%","1.0","46.98%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-09","0.01793628450066978","1.79%","0.11624255504505265","9.83%","0.5225259241669993","40.63%","1.0","47.75%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
